lf,beta,T_time_(ns)
0.5, 0.1,6390756213647
0.5, 0.1,6570633151613
0.5, 0.1,6613851529102
0.5, 0.1,6686404131732
0.5, 0.1,6789659006722
0.5, 0.1,6971657974151
0.5, 0.1,6993046413005
0.5, 0.1,7078227589022
0.5, 0.1,7091246174869
0.5, 0.1,7140635181298
0.5, 0.1,7167893412237
0.5, 0.1,7172086678097
0.5, 0.1,7195391716926
0.5, 0.1,7941228316633
0.5, 1.0,19879228158141
0.5, 1.0,19747904085775
0.5, 1.0,20313531005854
0.5, 1.0,20302679737961
0.5, 1.0,20642686747798
0.5, 1.0,20319332419398
0.5, 1.0,21039974219004
0.5, 1.0,20331078192875
0.5, 1.0,20988907633216
0.5, 1.0,20642152275706
0.5, 1.0,20966830044508
0.5, 1.0,21105951564726
0.5, 1.0,20887620267427
0.5, 1.0,21336756894092
0.5, 1.0,21751130843725
0.5, 1.0,20954528014258
0.5, 1.0,21237118567335
0.5, 1.0,21467251299473
0.5, 1.0,21546570584820
0.5, 1.0,21484858773381
0.5, 1.0,21314454014909
0.5, 1.0,21332234258476
0.5, 1.0,21892295463970
0.5, 1.0,21458150053990
0.5, 1.0,21524935060801
0.5, 1.0,22204989013135
0.5, 1.0,22124512117470
0.5, 1.0,21672519983315
0.5, 1.0,21938606390670
0.5, 1.0,22002505796584
0.5, 1.0,22047603149441
0.5, 1.0,22173258224485
0.5, 1.0,22707001017186
0.5, 1.0,22117217426429
0.5, 1.0,21874037679699
0.5, 1.0,22460007929989
0.5, 1.0,22121094497201
0.5, 1.0,22735966669380
0.5, 1.0,21901085423283
0.5, 1.0,22259888306941
0.5, 1.0,21807709364337
0.5, 1.0,22770973204657
0.5, 1.0,22988641276733
0.5, 1.0,22940582029056
0.5, 1.0,22517307994280
0.5, 1.0,22499797281560
0.5, 1.0,22568344324795
0.5, 1.0,22613551369371
0.5, 1.0,22428498041222
0.5, 1.0,22495251819898
0.5, 1.0,23616491669362
0.5, 1.0,22794313444551
0.5, 1.0,23259755654901
0.5, 1.0,22950770380027
0.5, 1.0,24220705649781
0.5, 1.0,23680008628518
0.5, 1.0,24081759070673
0.5, 1.0,24047100753072
0.5, 1.0,23610739244461
0.5, 1.0,23378039821486
0.5, 1.0,23535274211816
0.5, 1.0,24621416375990
0.5, 1.0,23745667457080
0.5, 1.0,24881642980116
0.5, 1.0,25141451563223
0.5, 1.0,24255084350031
0.5, 1.0,25481009986665
0.5, 1.0,25404696500122
0.5, 1.0,25466492144077
0.5, 1.0,26764043974100
0.5, 1.0,27475310755007
0.5, 1.0,29031897159742
0.5, 1.0,29831512491634
0.5, 1.0,29737753921610
0.5, 1.0,31089211211762
0.5, 1.0,31186033177203
0.5, 1.0,30572451037004
0.5, 1.0,31012590716441
0.5, 1.0,32457292854467
0.5, 1.0,32573057867533
0.5, 1.0,33610378476161
0.5, 1.0,32907630665211
